review_id,review_text,bank_name,review_date,source,rating,sentiment_label,sentiment_score,themes
0,🙏👍,Bank of Abyssinia,2025-11-29,Google Play,5,NEUTRAL,0.0,General/Other
1,Very Good,Bank of Abyssinia,2025-11-28,Google Play,5,POSITIVE,0.9998520612716675,General/Other
2,goof,Bank of Abyssinia,2025-11-28,Google Play,5,NEUTRAL,0.0,General/Other
3,good!,Bank of Abyssinia,2025-11-28,Google Play,5,POSITIVE,0.9998268485069275,General/Other
4,good jop,Bank of Abyssinia,2025-11-27,Google Play,5,POSITIVE,0.9998409748077393,General/Other
5,bad exprience...it is so crushed,Bank of Abyssinia,2025-11-27,Google Play,1,NEGATIVE,0.9998053908348083,General/Other
6,not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,Bank of Abyssinia,2025-11-26,Google Play,1,NEGATIVE,0.9997656941413879,User Interface & Experience
7,ምንም የማይ ሰራ,Bank of Abyssinia,2025-11-26,Google Play,1,NEUTRAL,0.0,General/Other
8,very good,Bank of Abyssinia,2025-11-25,Google Play,5,POSITIVE,0.9998520612716675,General/Other
9,most of the time is not working properly,Bank of Abyssinia,2025-11-25,Google Play,1,NEUTRAL,0.0,General/Other
10,good service,Bank of Abyssinia,2025-11-25,Google Play,5,POSITIVE,0.9998499155044556,Customer Support
11,not use for me,Bank of Abyssinia,2025-11-23,Google Play,3,NEUTRAL,0.0,General/Other
12,It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,Bank of Abyssinia,2025-11-22,Google Play,1,NEGATIVE,0.9968326687812805,User Interface & Experience
13,waw,Bank of Abyssinia,2025-11-21,Google Play,5,NEUTRAL,0.0,General/Other
14,the lag is unbelievable when you need it the most this suks,Bank of Abyssinia,2025-11-19,Google Play,1,NEGATIVE,0.9983174800872803,General/Other
15,I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,Bank of Abyssinia,2025-11-18,Google Play,1,NEGATIVE,0.999693751335144,General/Other
16,it is a good app,Bank of Abyssinia,2025-11-18,Google Play,5,POSITIVE,0.9998643398284912,General/Other
17,it is not working at all,Bank of Abyssinia,2025-11-15,Google Play,1,NEUTRAL,0.0,General/Other
